partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,22,47.8,640,1235,17,12,10
La Libertad Avanza,18,44.8,1363,72,16,14,4
Unión Cívica Radical,12,37.1,733,67,1,8,4
Fuerza Patria,4,38.9,74,203,3,2,2
Alianza por Santa Cruz,2,51.1,92,90,2,2,0
Eco + Vamos Corrientes,2,53.9,186,8,0,2,0
Partido Renovador Federal,2,53.9,182,10,2,2,0
Frente Renovador de la Concordia-Innovación Federal,2,53.9,188,6,0,2,0
Frente Cívico por Santiago,2,25.6,26,65,1,2,0
Frente Cambia Mendoza,2,26.4,91,4,0,2,0
Fuerza Entre Ríos,1,49.4,22,65,2,0,1
Hacemos por Córdoba,1,45.6,47,19,16,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,48.9,65,14,9,0,1
