provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Corrientes,3,54.5,255,Eco + Vamos Corrientes / Unión por la Patria,2,1
Formosa,3,54.5,255,La Libertad Avanza / Unión por la Patria,2,1
Misiones,3,54.3,255,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
San Luis,3,54.1,255,La Libertad Avanza / Unión por la Patria,2,1
San Juan,3,54.1,255,La Libertad Avanza / Unión por la Patria,2,1
Entre Ríos,3,52.8,255,Fuerza Entre Ríos / La Libertad Avanza,2,1
Santa Fe,3,52.8,255,Unión Cívica Radical / Unión por la Patria,2,1
Santa Cruz,3,52.4,255,Alianza por Santa Cruz / Unión por la Patria,2,1
La Rioja,3,52.4,255,La Libertad Avanza / Unión por la Patria,2,1
Chubut,3,47.0,255,Unión Cívica Radical / Unión por la Patria,2,1
Río Negro,3,36.3,170,Fuerza Patria / La Libertad Avanza,2,1
Ciudad Autónoma de Buenos Aires,3,36.3,170,Fuerza Patria / La Libertad Avanza,2,1
Chaco,3,36.3,170,Fuerza Patria / La Libertad Avanza,2,1
La Pampa,3,36.3,170,Unión Cívica Radical / Unión por la Patria,2,1
Jujuy,3,36.3,170,Partido Renovador Federal / Unión por la Patria,2,1
Salta,3,36.1,169,La Libertad Avanza / Primero Los Salteños,2,1
Tucumán,3,36.1,170,Unión Cívica Radical / Unión por la Patria,2,1
Mendoza,3,35.9,170,Frente Cambia Mendoza / Unión por la Patria,2,1
Catamarca,3,35.7,170,Unión Cívica Radical / Unión por la Patria,2,1
Buenos Aires,3,34.6,170,Unión Cívica Radical / Unión por la Patria,2,1
Neuquén,3,34.2,170,La Libertad Avanza / la Neuquinidad,2,1
Córdoba,3,31.6,170,Hacemos por Córdoba / Unión Cívica Radical,2,1
Santiago del Estero,3,0.0,0,Frente Cívico por Santiago / Unión por la Patria,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2,0.0,0,La Libertad Avanza,2,0
