id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,votos_afirmativos,votos_total,participation_pct
294,"Mayans, José Miguel Ángel",Formosa,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/294.gif,,,,Unión por la Patria,Mayoría,1,0,0.0,87,37,125,60.1
551,"Paoltroni, Francisco Manuel",Formosa,Alianza la Libertad Avanza,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/551.gif,,,,La Libertad Avanza,Primera Minoría,1,4,0.0,6,114,125,58.17
552,"Atauche, Ezequiel",Jujuy,Partido Renovador Federal,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/552.gif,,,,Partido Renovador Federal,Mayoría,1,0,0.0,7,117,125,60.1
553,"Bedia, Vilma Facunda",Jujuy,Partido Renovador Federal,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/553.gif,,,,Partido Renovador Federal,Mayoría,1,1,0.0,7,116,125,59.62
554,"Moises, María Carolina",Jujuy,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/554.gif,,,,Unión por la Patria,Primera Minoría,0,0,,0,0,0,0.0
532,"Bensusán, Daniel Pablo",La Pampa,Frente de Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/532.gif,,,,Unión por la Patria,Primera Minoría,1,0,0.0,86,38,125,60.1
531,"Huala, María Victoria",La Pampa,Juntos por el Cambio,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/531.gif,,,,Unión Cívica Radical,Mayoría,0,0,,0,0,0,0.0
530,"Kroneberger, Daniel Ricardo",La Pampa,Juntos por el Cambio,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/530.gif,,,,Unión Cívica Radical,Mayoría,0,24,0.0,13,88,125,48.56
555,"López, María Florencia",La Rioja,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/555.gif,,,,Unión por la Patria,Mayoría,1,10,0.0,84,30,125,55.29
557,"Pagotto, Juan Carlos",La Rioja,Alianza la Libertad Avanza,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/557.gif,,,,La Libertad Avanza,Primera Minoría,1,24,0.0,5,95,125,48.56
556,"Rejal, Jesús Fernando",La Rioja,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/556.gif,,,,Unión por la Patria,Mayoría,1,0,0.0,86,38,125,60.1
571,"Suárez, Rodolfo Alejandro",Mendoza,Frente Cambia Mendoza,"{'fin': '2027-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}","Cornejo, Alfredo Victor",,https://api.argentinadatos.com/static/senado/senadores/571.gif,,,,Frente Cambia Mendoza,Mayoría,0,19,0.0,4,102,125,50.96
533,"Cornejo, Alfredo Victor",Mendoza,Frente Cambia Mendoza,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': '2023-12-09', 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/533.gif,,,,Frente Cambia Mendoza,Mayoría,0,0,,0,0,0,0.0
468,"Fernández Sagasti, Anabel",Mendoza,Justicialista,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/468.gif,,,,Unión por la Patria,Primera Minoría,1,40,0.0,62,22,125,40.87
558,"Arce, Carlos Omar",Misiones,Frente Renovador de la Concordia-Innovación Federal,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/558.gif,,,,Frente Renovador de la Concordia-Innovación Federal,Mayoría,0,0,0.0,4,121,125,60.1
560,"Goerling Lara, Enrique Martín",Misiones,Juntos por el Cambio,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/560.gif,,,,Unión Cívica Radical,Primera Minoría,0,3,0.0,5,117,125,58.65
559,"Rojas Decut, Sonia Elizabeth",Misiones,Frente Renovador de la Concordia-Innovación Federal,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/559.gif,,,,Frente Renovador de la Concordia-Innovación Federal,Mayoría,0,0,0.0,4,121,125,60.1
