provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Corrientes,3,95.8,348,Eco + Vamos Corrientes / Unión por la Patria,2,1
Santa Cruz,3,90.8,350,Alianza por Santa Cruz / Unión por la Patria,2,1
Formosa,3,90.8,347,La Libertad Avanza / Unión por la Patria,2,1
La Rioja,3,89.7,348,La Libertad Avanza / Unión por la Patria,2,1
San Luis,3,89.4,348,La Libertad Avanza / Unión por la Patria,2,1
San Juan,3,86.9,348,La Libertad Avanza / Unión por la Patria,2,1
Catamarca,3,85.8,349,Unión Cívica Radical / Unión por la Patria,2,1
Chubut,3,85.3,349,Unión Cívica Radical / Unión por la Patria,2,1
Buenos Aires,2,81.2,232,Unión Cívica Radical / Unión por la Patria,1,1
Misiones,3,59.7,234,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
Santa Fe,3,58.6,234,Unión Cívica Radical / Unión por la Patria,2,1
Tucumán,3,58.1,232,Unión Cívica Radical / Unión por la Patria,2,1
Jujuy,3,58.1,232,Partido Renovador Federal / Unión por la Patria,2,1
La Pampa,3,57.5,232,Unión Cívica Radical / Unión por la Patria,2,1
Córdoba,3,54.4,232,Hacemos por Córdoba / Unión Cívica Radical,2,1
Mendoza,3,47.8,233,Frente Cambia Mendoza / Unión por la Patria,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,31.4,116,La Libertad Avanza / Unión por la Patria,2,1
Ciudad Autónoma de Buenos Aires,3,28.9,116,Fuerza Patria / La Libertad Avanza,2,1
Santiago del Estero,3,27.5,116,Frente Cívico por Santiago / Unión por la Patria,2,1
Neuquén,3,0.0,0,La Libertad Avanza / la Neuquinidad,2,1
Río Negro,2,0.0,0,Fuerza Patria,2,0
Salta,3,0.0,0,La Libertad Avanza / Primero Los Salteños,2,1
Entre Ríos,3,0.0,0,Fuerza Entre Ríos / La Libertad Avanza,2,1
Chaco,3,0.0,0,Fuerza Patria / La Libertad Avanza,2,1
