fecha,tipo,nro_sesion,nro_reunion,url
30-06-2022,ORDINARIA,01,07,https://www.senado.gov.ar/parlamentario/sesiones/30-06-2022/07/downloadTac
02-06-2022,ESPECIAL,04,05,https://www.senado.gov.ar/parlamentario/sesiones/02-06-2022/05/downloadTac
02-06-2022,INFORMATIVA ESPECIAL,05,06,https://www.senado.gov.ar/parlamentario/sesiones/02-06-2022/06/downloadTac
12-05-2022,ESPECIAL,03,04,https://www.senado.gov.ar/parlamentario/sesiones/12-05-2022/04/downloadTac
07-04-2022,ESPECIAL,02,03,https://www.senado.gov.ar/parlamentario/sesiones/07-04-2022/03/downloadTac
17-03-2022,ESPECIAL,01,02,https://www.senado.gov.ar/parlamentario/sesiones/17-03-2022/02/downloadTac
01-03-2022,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2022/00/downloadTac
24-02-2022,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/24-02-2022/01/downloadTac
29-12-2021,ESPECIAL,13,16,https://www.senado.gov.ar/parlamentario/sesiones/29-12-2021/16/downloadTac
09-12-2021,ORDINARIA,02,15,https://www.senado.gov.ar/parlamentario/sesiones/09-12-2021/15/downloadTac
09-12-2021,ESPECIAL,12,14,https://www.senado.gov.ar/parlamentario/sesiones/09-12-2021/14/downloadTac
28-10-2021,ORDINARIA,01,13,https://www.senado.gov.ar/parlamentario/sesiones/28-10-2021/13/downloadTac
06-10-2021,ESPECIAL,11,12,https://www.senado.gov.ar/parlamentario/sesiones/06-10-2021/12/downloadTac
19-08-2021,ESPECIAL,10,11,https://www.senado.gov.ar/parlamentario/sesiones/19-08-2021/11/downloadTac
15-07-2021,ESPECIAL,09,10,https://www.senado.gov.ar/parlamentario/sesiones/15-07-2021/10/downloadTac
24-06-2021,ESPECIAL,08,09,https://www.senado.gov.ar/parlamentario/sesiones/24-06-2021/09/downloadTac
03-06-2021,INFORMATIVA ESPECIAL,07,08,https://www.senado.gov.ar/parlamentario/sesiones/03-06-2021/08/downloadTac
02-06-2021,ESPECIAL,06,07,https://www.senado.gov.ar/parlamentario/sesiones/02-06-2021/07/downloadTac
20-05-2021,ESPECIAL,05,06,https://www.senado.gov.ar/parlamentario/sesiones/20-05-2021/06/downloadTac
13-05-2021,ESPECIAL,04,05,https://www.senado.gov.ar/parlamentario/sesiones/13-05-2021/05/downloadTac
08-04-2021,ESPECIAL,03,04,https://www.senado.gov.ar/parlamentario/sesiones/08-04-2021/04/downloadTac
25-03-2021,ESPECIAL,02,03,https://www.senado.gov.ar/parlamentario/sesiones/25-03-2021/03/downloadTac
11-03-2021,ESPECIAL,01,02,https://www.senado.gov.ar/parlamentario/sesiones/11-03-2021/02/downloadTac
01-03-2021,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2021/00/downloadTac
