partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,22,52.2,883,1489,17,12,10
La Libertad Avanza,18,48.8,1711,98,17,14,4
Unión Cívica Radical,12,40.5,927,84,1,8,4
Fuerza Patria,4,43.0,99,256,3,2,2
Alianza por Santa Cruz,2,57.7,128,110,2,2,0
Eco + Vamos Corrientes,2,59.1,236,10,0,2,0
Partido Renovador Federal,2,59.9,233,14,2,2,0
Frente Renovador de la Concordia-Innovación Federal,2,60.1,242,8,0,2,0
Frente Cívico por Santiago,2,28.8,45,74,1,2,0
Frente Cambia Mendoza,2,25.5,102,4,0,2,0
Fuerza Entre Ríos,1,55.8,32,82,2,0,1
Hacemos por Córdoba,1,49.5,67,20,16,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,55.8,92,15,9,0,1
