partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,22,50.1,768,1355,17,12,10
La Libertad Avanza,18,47.0,1541,85,16,14,4
Unión Cívica Radical,12,38.9,837,68,1,8,4
Fuerza Patria,4,41.1,90,226,3,2,2
Alianza por Santa Cruz,2,54.6,120,90,2,2,0
Eco + Vamos Corrientes,2,56.2,210,8,0,2,0
Partido Renovador Federal,2,57.0,207,12,2,2,0
Frente Renovador de la Concordia-Innovación Federal,2,57.2,216,6,0,2,0
Frente Cívico por Santiago,2,27.3,32,73,1,2,0
Frente Cambia Mendoza,2,27.3,102,4,0,2,0
Fuerza Entre Ríos,1,52.6,28,72,2,0,1
Hacemos por Córdoba,1,45.9,54,19,16,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,52.6,79,14,9,0,1
