provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Chaco,3,54.9,303,Fuerza Patria / La Libertad Avanza,2,1
Misiones,3,54.7,303,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
San Juan,3,54.5,303,La Libertad Avanza / Unión por la Patria,2,1
San Luis,3,54.5,303,La Libertad Avanza / Unión por la Patria,2,1
Formosa,3,54.2,303,La Libertad Avanza / Unión por la Patria,2,1
Santa Fe,3,53.4,303,Unión Cívica Radical / Unión por la Patria,2,1
Entre Ríos,3,53.3,303,Fuerza Entre Ríos / La Libertad Avanza,2,1
Ciudad Autónoma de Buenos Aires,3,53.1,303,Fuerza Patria / La Libertad Avanza,2,1
Buenos Aires,3,53.1,303,Unión Cívica Radical / Unión por la Patria,2,1
Santa Cruz,3,53.1,303,Alianza por Santa Cruz / Unión por la Patria,2,1
La Rioja,3,53.1,303,La Libertad Avanza / Unión por la Patria,2,1
Corrientes,3,53.1,303,Eco + Vamos Corrientes / Unión por la Patria,2,1
Chubut,3,46.4,303,Unión Cívica Radical / Unión por la Patria,2,1
La Pampa,3,36.6,202,Unión Cívica Radical / Unión por la Patria,2,1
Salta,3,36.4,201,La Libertad Avanza / Primero Los Salteños,2,1
Tucumán,3,36.4,202,Unión Cívica Radical / Unión por la Patria,2,1
Río Negro,3,36.4,201,Fuerza Patria / La Libertad Avanza,2,1
Jujuy,3,36.4,202,Partido Renovador Federal / Unión por la Patria,2,1
Santiago del Estero,3,35.5,202,Frente Cívico por Santiago / Unión por la Patria,2,1
Neuquén,3,34.8,202,La Libertad Avanza / la Neuquinidad,2,1
Catamarca,3,34.2,202,Unión Cívica Radical / Unión por la Patria,2,1
Mendoza,3,33.3,202,Frente Cambia Mendoza / Unión por la Patria,2,1
Córdoba,3,31.9,202,Hacemos por Córdoba / Unión Cívica Radical,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,17.6,101,La Libertad Avanza / Unión por la Patria,2,1
