provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Chaco,3,61.9,405,Fuerza Patria / La Libertad Avanza,2,1
San Juan,3,61.6,405,La Libertad Avanza / Unión por la Patria,2,1
Misiones,3,61.5,405,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
San Luis,3,61.5,405,La Libertad Avanza / Unión por la Patria,2,1
Formosa,3,61.3,405,La Libertad Avanza / Unión por la Patria,2,1
Santa Cruz,3,60.4,405,Alianza por Santa Cruz / Unión por la Patria,2,1
Entre Ríos,3,59.8,405,Fuerza Entre Ríos / La Libertad Avanza,2,1
Corrientes,3,59.8,405,Eco + Vamos Corrientes / Unión por la Patria,2,1
Buenos Aires,3,59.5,405,Unión Cívica Radical / Unión por la Patria,2,1
Ciudad Autónoma de Buenos Aires,3,58.9,405,Fuerza Patria / La Libertad Avanza,2,1
La Rioja,3,56.7,405,La Libertad Avanza / Unión por la Patria,2,1
Santa Fe,3,55.4,405,Unión Cívica Radical / Unión por la Patria,2,1
Chubut,3,53.8,404,Unión Cívica Radical / Unión por la Patria,2,1
Tucumán,3,42.7,280,Unión Cívica Radical / Unión por la Patria,2,1
Jujuy,3,41.1,270,Partido Renovador Federal / Unión por la Patria,2,1
Río Negro,3,41.1,269,Fuerza Patria / La Libertad Avanza,2,1
Santiago del Estero,3,40.4,270,Frente Cívico por Santiago / Unión por la Patria,2,1
Salta,3,39.9,269,La Libertad Avanza / Primero Los Salteños,2,1
Neuquén,3,39.8,270,La Libertad Avanza / la Neuquinidad,2,1
Catamarca,3,39.0,270,Unión Cívica Radical / Unión por la Patria,2,1
La Pampa,3,37.6,270,Unión Cívica Radical / Unión por la Patria,2,1
Córdoba,3,34.7,270,Hacemos por Córdoba / Unión Cívica Radical,2,1
Mendoza,3,30.7,270,Frente Cambia Mendoza / Unión por la Patria,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,20.0,135,La Libertad Avanza / Unión por la Patria,2,1
