provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Chaco,3,57.2,333,Fuerza Patria / La Libertad Avanza,2,1
San Juan,3,56.9,333,La Libertad Avanza / Unión por la Patria,2,1
Misiones,3,56.7,333,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
San Luis,3,56.7,333,La Libertad Avanza / Unión por la Patria,2,1
Formosa,3,56.5,333,La Libertad Avanza / Unión por la Patria,2,1
Santa Cruz,3,55.5,333,Alianza por Santa Cruz / Unión por la Patria,2,1
Entre Ríos,3,55.3,333,Fuerza Entre Ríos / La Libertad Avanza,2,1
Corrientes,3,55.3,333,Eco + Vamos Corrientes / Unión por la Patria,2,1
Buenos Aires,3,55.0,333,Unión Cívica Radical / Unión por la Patria,2,1
Ciudad Autónoma de Buenos Aires,3,54.8,333,Fuerza Patria / La Libertad Avanza,2,1
Santa Fe,3,54.0,333,Unión Cívica Radical / Unión por la Patria,2,1
La Rioja,3,53.8,333,La Libertad Avanza / Unión por la Patria,2,1
Chubut,3,48.6,332,Unión Cívica Radical / Unión por la Patria,2,1
Río Negro,3,38.0,221,Fuerza Patria / La Libertad Avanza,2,1
Tucumán,3,38.0,222,Unión Cívica Radical / Unión por la Patria,2,1
Jujuy,3,38.0,222,Partido Renovador Federal / Unión por la Patria,2,1
Salta,3,37.6,221,La Libertad Avanza / Primero Los Salteños,2,1
Santiago del Estero,3,37.1,222,Frente Cívico por Santiago / Unión por la Patria,2,1
La Pampa,3,36.4,222,Unión Cívica Radical / Unión por la Patria,2,1
Neuquén,3,36.4,222,La Libertad Avanza / la Neuquinidad,2,1
Catamarca,3,35.6,222,Unión Cívica Radical / Unión por la Patria,2,1
Mendoza,3,32.8,222,Frente Cambia Mendoza / Unión por la Patria,2,1
Córdoba,3,32.5,222,Hacemos por Córdoba / Unión Cívica Radical,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,18.4,111,La Libertad Avanza / Unión por la Patria,2,1
