partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,22,46.4,617,1144,17,12,10
La Libertad Avanza,18,43.5,1288,57,16,14,4
Unión Cívica Radical,12,36.1,694,59,0,8,4
Fuerza Patria,4,37.6,71,188,3,2,2
Alianza por Santa Cruz,2,49.4,90,80,2,2,0
Eco + Vamos Corrientes,2,52.3,176,6,0,2,0
Partido Renovador Federal,2,52.3,172,8,2,2,0
Frente Renovador de la Concordia-Innovación Federal,2,52.3,178,4,0,2,0
Frente Cívico por Santiago,2,24.7,25,60,1,2,0
Frente Cambia Mendoza,2,25.6,86,3,0,2,0
Fuerza Entre Ríos,1,47.7,21,60,2,0,1
Hacemos por Córdoba,1,43.7,46,14,16,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,47.1,65,8,9,0,1
