provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Chaco,3,60.1,375,Fuerza Patria / La Libertad Avanza,2,1
San Juan,3,59.8,375,La Libertad Avanza / Unión por la Patria,2,1
San Luis,3,59.6,375,La Libertad Avanza / Unión por la Patria,2,1
Misiones,3,59.6,375,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
Formosa,3,59.5,375,La Libertad Avanza / Unión por la Patria,2,1
Santa Cruz,3,58.5,375,Alianza por Santa Cruz / Unión por la Patria,2,1
Corrientes,3,57.9,375,Eco + Vamos Corrientes / Unión por la Patria,2,1
Entre Ríos,3,57.9,375,Fuerza Entre Ríos / La Libertad Avanza,2,1
Buenos Aires,3,57.5,375,Unión Cívica Radical / Unión por la Patria,2,1
Ciudad Autónoma de Buenos Aires,3,56.9,375,Fuerza Patria / La Libertad Avanza,2,1
Santa Fe,3,54.8,375,Unión Cívica Radical / Unión por la Patria,2,1
La Rioja,3,54.6,375,La Libertad Avanza / Unión por la Patria,2,1
Chubut,3,51.6,374,Unión Cívica Radical / Unión por la Patria,2,1
Río Negro,3,39.9,249,Fuerza Patria / La Libertad Avanza,2,1
Tucumán,3,39.9,250,Unión Cívica Radical / Unión por la Patria,2,1
Jujuy,3,39.9,250,Partido Renovador Federal / Unión por la Patria,2,1
Santiago del Estero,3,39.1,250,Frente Cívico por Santiago / Unión por la Patria,2,1
Salta,3,38.6,249,La Libertad Avanza / Primero Los Salteños,2,1
Neuquén,3,38.5,250,La Libertad Avanza / la Neuquinidad,2,1
Catamarca,3,37.7,250,Unión Cívica Radical / Unión por la Patria,2,1
La Pampa,3,36.2,250,Unión Cívica Radical / Unión por la Patria,2,1
Córdoba,3,34.8,250,Hacemos por Córdoba / Unión Cívica Radical,2,1
Mendoza,3,30.6,250,Frente Cambia Mendoza / Unión por la Patria,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,19.4,125,La Libertad Avanza / Unión por la Patria,2,1
