partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,22,53.6,924,1624,21,12,10
La Libertad Avanza,18,50.4,1861,98,17,14,4
Unión Cívica Radical,12,42.5,1027,84,1,8,4
Fuerza Patria,4,44.5,102,283,3,2,2
Alianza por Santa Cruz,2,59.6,146,112,2,2,0
Eco + Vamos Corrientes,2,61.0,256,10,0,2,0
Partido Renovador Federal,2,61.7,253,14,2,2,0
Frente Renovador de la Concordia-Innovación Federal,2,61.9,262,8,0,2,0
Frente Cívico por Santiago,2,29.8,46,83,1,2,0
Frente Cambia Mendoza,2,26.6,112,4,0,2,0
Fuerza Entre Ríos,1,57.8,33,91,2,0,1
Hacemos por Córdoba,1,47.2,67,20,16,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,57.8,102,15,9,0,1
