partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,22,47.6,639,1217,17,12,10
La Libertad Avanza,18,44.6,1348,72,16,14,4
Unión Cívica Radical,12,36.9,725,67,1,8,4
Fuerza Patria,4,38.7,74,200,3,2,2
Alianza por Santa Cruz,2,50.8,92,88,2,2,0
Eco + Vamos Corrientes,2,53.6,184,8,0,2,0
Frente Cambia Mendoza,2,26.3,90,4,0,2,0
Frente Cívico por Santiago,2,25.4,26,64,1,2,0
Frente Renovador de la Concordia-Innovación Federal,2,53.6,186,6,0,2,0
Partido Renovador Federal,2,53.6,180,10,2,2,0
Fuerza Entre Ríos,1,49.2,22,64,2,0,1
Hacemos por Córdoba,1,45.2,47,18,16,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,48.6,65,13,9,0,1
