partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,22,76.9,1708,306,17,12,10
La Libertad Avanza,18,23.9,290,214,13,14,4
Unión Cívica Radical,12,56.7,659,149,8,8,4
Fuerza Patria,4,21.7,86,18,0,2,2
Alianza por Santa Cruz,2,89.2,184,26,4,2,0
Eco + Vamos Corrientes,2,96.2,189,42,0,2,0
Frente Cambia Mendoza,2,28.8,54,14,1,2,0
Frente Cívico por Santiago,2,0.0,0,0,0,2,0
Frente Renovador de la Concordia-Innovación Federal,2,89.6,177,26,12,2,0
Partido Renovador Federal,2,87.1,114,85,10,2,0
Fuerza Entre Ríos,1,0.0,0,0,0,0,1
Hacemos por Córdoba,1,80.8,75,21,1,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,0.0,0,0,0,0,1
