provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Chaco,3,53.6,288,Fuerza Patria / La Libertad Avanza,2,1
Formosa,3,53.6,288,La Libertad Avanza / Unión por la Patria,2,1
Misiones,3,53.4,288,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
San Luis,3,53.3,288,La Libertad Avanza / Unión por la Patria,2,1
San Juan,3,53.3,288,La Libertad Avanza / Unión por la Patria,2,1
Corrientes,3,52.5,288,Eco + Vamos Corrientes / Unión por la Patria,2,1
Santa Fe,3,52.1,288,Unión Cívica Radical / Unión por la Patria,2,1
Entre Ríos,3,52.1,288,Fuerza Entre Ríos / La Libertad Avanza,2,1
Buenos Aires,3,51.8,288,Unión Cívica Radical / Unión por la Patria,2,1
Ciudad Autónoma de Buenos Aires,3,51.8,288,Fuerza Patria / La Libertad Avanza,2,1
La Rioja,3,51.8,288,La Libertad Avanza / Unión por la Patria,2,1
Santa Cruz,3,51.8,288,Alianza por Santa Cruz / Unión por la Patria,2,1
Chubut,3,44.9,288,Unión Cívica Radical / Unión por la Patria,2,1
Jujuy,3,35.8,192,Partido Renovador Federal / Unión por la Patria,2,1
La Pampa,3,35.8,192,Unión Cívica Radical / Unión por la Patria,2,1
Salta,3,35.6,191,La Libertad Avanza / Primero Los Salteños,2,1
Tucumán,3,35.6,192,Unión Cívica Radical / Unión por la Patria,2,1
Río Negro,3,35.6,191,Fuerza Patria / La Libertad Avanza,2,1
Santiago del Estero,3,34.6,192,Frente Cívico por Santiago / Unión por la Patria,2,1
Neuquén,3,33.9,192,La Libertad Avanza / la Neuquinidad,2,1
Catamarca,3,33.5,192,Unión Cívica Radical / Unión por la Patria,2,1
Mendoza,3,33.3,192,Frente Cambia Mendoza / Unión por la Patria,2,1
Córdoba,3,31.3,192,Hacemos por Córdoba / Unión Cívica Radical,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,17.9,96,La Libertad Avanza / Unión por la Patria,2,1
