id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,votos_afirmativos,votos_total,participation_pct
546,"Abad, Maximiliano",Buenos Aires,Juntos por el Cambio,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/546.gif,,,,Unión Cívica Radical,Primera Minoría,0,13,0.0,24,98,135,55.96
545,"De Pedro, Eduardo Enrique",Buenos Aires,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/545.gif,,,,Unión por la Patria,Mayoría,1,0,0.0,98,36,135,61.93
517,"Di Tullio, Juliana",Buenos Aires,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}","Di Tullio, Juliana",,https://api.argentinadatos.com/static/senado/senadores/517.gif,,,,Unión por la Patria,Mayoría,1,3,0.0,96,35,135,60.55
519,"Andrada, Guillermo Eduardo",Catamarca,Frente de Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/519.gif,,,,Unión por la Patria,Mayoría,3,2,0.0,51,79,135,61.01
398,"Corpacci, Lucía Benigna",Catamarca,Frente de Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/398.gif,,,,Unión por la Patria,Mayoría,0,0,,0,0,0,0.0
520,"Fama, Flavio Sergio",Catamarca,Juntos por el Cambio,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/520.gif,,,,Unión Cívica Radical,Primera Minoría,0,13,0.0,2,120,135,55.96
285,"Capitanich, Jorge Milton",Chaco,Fuerza Patria,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/285.gif,,,,Fuerza Patria,Primera Minoría,1,0,0.0,96,38,135,61.93
578,"Godoy, Juan Cruz",Chaco,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/578.gif,,,,La Libertad Avanza,Mayoría,1,0,0.0,7,127,135,61.93
579,"Schneider, Silvana Lorena",Chaco,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/579.gif,,,,La Libertad Avanza,Mayoría,1,0,0.0,5,129,135,61.93
570,"Cristina, Andrea Marcela",Chubut,Juntos por el Cambio Chubut,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/570.gif,,,,Unión Cívica Radical,Mayoría,0,25,0.0,12,98,135,50.46
