provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Chaco,3,52.3,273,Fuerza Patria / La Libertad Avanza,2,1
Formosa,3,52.3,273,La Libertad Avanza / Unión por la Patria,2,1
Misiones,3,52.1,273,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
San Luis,3,51.9,273,La Libertad Avanza / Unión por la Patria,2,1
San Juan,3,51.9,273,La Libertad Avanza / Unión por la Patria,2,1
Corrientes,3,51.2,273,Eco + Vamos Corrientes / Unión por la Patria,2,1
Santa Fe,3,50.8,273,Unión Cívica Radical / Unión por la Patria,2,1
Entre Ríos,3,50.8,273,Fuerza Entre Ríos / La Libertad Avanza,2,1
Buenos Aires,3,50.4,273,Unión Cívica Radical / Unión por la Patria,2,1
Ciudad Autónoma de Buenos Aires,3,50.4,273,Fuerza Patria / La Libertad Avanza,2,1
La Rioja,3,50.4,273,La Libertad Avanza / Unión por la Patria,2,1
Santa Cruz,3,50.4,273,Alianza por Santa Cruz / Unión por la Patria,2,1
Chubut,3,43.3,273,Unión Cívica Radical / Unión por la Patria,2,1
Jujuy,3,34.9,182,Partido Renovador Federal / Unión por la Patria,2,1
La Pampa,3,34.9,182,Unión Cívica Radical / Unión por la Patria,2,1
Salta,3,34.7,181,La Libertad Avanza / Primero Los Salteños,2,1
Tucumán,3,34.7,182,Unión Cívica Radical / Unión por la Patria,2,1
Río Negro,3,34.7,181,Fuerza Patria / La Libertad Avanza,2,1
Santiago del Estero,3,33.7,182,Frente Cívico por Santiago / Unión por la Patria,2,1
Catamarca,3,33.5,182,Unión Cívica Radical / Unión por la Patria,2,1
Mendoza,3,33.3,182,Frente Cambia Mendoza / Unión por la Patria,2,1
Neuquén,3,32.9,182,La Libertad Avanza / la Neuquinidad,2,1
Córdoba,3,30.3,182,Hacemos por Córdoba / Unión Cívica Radical,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,17.4,91,La Libertad Avanza / Unión por la Patria,2,1
